index,user_id,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
Unnamed 1198,338341,21.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,0.0
106,338434,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1199,338442,6.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,3.0,0.0,0.0,0.0
147,338478,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1,338624,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,338692,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1200,338722,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,3.0,0.0,6.0
Unnamed 1201,338813,9.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,3.0
156,338970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5,338984,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1202,338995,24.0,3.0,0.0,9.0,0.0,0.0,0.0,8.0,27.0,0.0,3.0,6.0,0.0,0.0
106,339075,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1203,339273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
45,339276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1204,339448,12.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,6.0,0.0,0.0
Unnamed 1205,339611,3.0,3.0,6.0,6.0,0.0,6.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0
Unnamed 1206,339670,0.0,6.0,3.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,339703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1207,339707,24.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
106,339792,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,339883,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
156,339887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1208,339918,60.0,6.0,3.0,36.0,0.0,27.0,0.0,27.0,54.0,0.0,12.0,15.0,0.0,0.0
Unnamed 1209,339950,3.0,3.0,3.0,3.0,0.0,3.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0
156,340018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
176,340271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
106,340537,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,340596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1210,340811,12.0,0.0,2.0,12.0,0.0,8.0,0.0,6.0,12.0,0.0,4.0,0.0,0.0,0.0
Unnamed 1211,341164,12.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,0.0,3.0
Unnamed 1212,341326,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
156,341403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1213,341405,27.0,2.0,5.0,17.0,6.0,23.0,0.0,14.0,33.0,2.0,6.0,24.0,6.0,11.0
Unnamed 1214,341523,0.0,0.0,9.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,3.0
Unnamed 1215,341698,6.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0
156,341916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29,341991,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
156,342240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1216,342318,27.0,12.0,0.0,21.0,0.0,21.0,0.0,18.0,33.0,0.0,3.0,3.0,0.0,0.0
Unnamed 1217,342475,21.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1218,342584,9.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1219,342621,3.0,9.0,0.0,0.0,0.0,12.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1220,342624,3.0,3.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,3.0
176,342638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1221,342697,0.0,12.0,0.0,6.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
106,342775,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1222,342823,12.0,6.0,0.0,9.0,0.0,15.0,0.0,9.0,9.0,0.0,6.0,3.0,0.0,0.0
106,342916,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1223,342942,9.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1224,343507,6.0,6.0,0.0,0.0,3.0,3.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0
156,343677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1225,343696,12.0,12.0,0.0,12.0,0.0,3.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1226,343800,3.0,6.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0
Unnamed 1227,343975,12.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1228,344052,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1229,344122,12.0,9.0,0.0,15.0,0.0,15.0,0.0,6.0,18.0,0.0,3.0,3.0,0.0,0.0
Unnamed 1230,344502,15.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,15.0,3.0,0.0,6.0,0.0,3.0
156,344588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1231,344914,14.0,3.0,6.0,8.0,0.0,21.0,0.0,15.0,17.0,3.0,3.0,3.0,0.0,3.0
1,344965,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1232,345064,3.0,6.0,0.0,3.0,0.0,3.0,0.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0
57,345096,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
176,345264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156,345279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1233,345392,15.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,3.0,0.0,0.0
106,345429,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,345431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1234,345520,6.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,3.0,3.0,0.0
156,345767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1235,345793,39.0,6.0,0.0,18.0,0.0,9.0,0.0,12.0,39.0,0.0,0.0,12.0,0.0,0.0
Unnamed 1236,345815,9.0,0.0,3.0,6.0,0.0,12.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
156,346004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1237,346017,3.0,9.0,6.0,6.0,0.0,12.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0
Unnamed 1238,346071,18.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,3.0,0.0,3.0
176,346369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1239,346607,0.0,6.0,0.0,0.0,0.0,12.0,0.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0
Unnamed 1240,346708,6.0,9.0,3.0,12.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1241,347006,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Unnamed 1242,347085,9.0,3.0,0.0,0.0,0.0,6.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
156,347218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1243,347528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
156,347540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
106,347980,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1244,348013,9.0,0.0,0.0,3.0,0.0,6.0,0.0,18.0,3.0,0.0,6.0,0.0,0.0,0.0
Unnamed 1245,348169,3.0,3.0,0.0,3.0,0.0,12.0,0.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0
57,348180,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
102,348366,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1246,348461,3.0,9.0,0.0,6.0,3.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1247,348634,9.0,0.0,9.0,3.0,6.0,0.0,0.0,3.0,9.0,0.0,3.0,18.0,3.0,0.0
155,348808,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1248,348849,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
156,348866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
156,348913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1249,348960,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1250,348994,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1251,349101,9.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,3.0
Unnamed 1252,349307,6.0,3.0,0.0,3.0,0.0,6.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1253,349457,9.0,12.0,0.0,12.0,0.0,6.0,0.0,12.0,9.0,3.0,0.0,3.0,0.0,0.0
Unnamed 1254,349543,21.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,15.0,0.0,9.0,6.0,0.0,3.0
Unnamed 1255,349735,9.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
156,349758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1256,349873,12.0,3.0,3.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0
Unnamed 1257,350066,9.0,0.0,3.0,9.0,3.0,6.0,0.0,3.0,12.0,0.0,0.0,3.0,0.0,0.0
Unnamed 1258,350122,3.0,12.0,0.0,6.0,0.0,6.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1259,350259,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,3.0,0.0,0.0
Unnamed 1260,350280,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,6.0,0.0,3.0
Unnamed 1261,350370,9.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,9.0,0.0,6.0,3.0,0.0,0.0
Unnamed 1262,350445,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1263,350589,24.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0,6.0,3.0,0.0,0.0
Unnamed 1264,350597,3.0,6.0,3.0,9.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0
Unnamed 1265,350613,15.0,3.0,3.0,6.0,0.0,0.0,0.0,12.0,9.0,3.0,0.0,9.0,0.0,3.0
Unnamed 1266,350752,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,3.0
176,351063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156,351154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1267,351164,0.0,3.0,3.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
106,351284,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1268,351320,12.0,0.0,3.0,15.0,0.0,3.0,0.0,0.0,18.0,2.0,3.0,0.0,0.0,0.0
Unnamed 1269,351328,3.0,6.0,0.0,3.0,0.0,3.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0
Unnamed 1270,351382,24.0,0.0,0.0,12.0,3.0,3.0,0.0,0.0,27.0,0.0,3.0,3.0,0.0,0.0
106,351741,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,351811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1271,351837,9.0,6.0,3.0,6.0,0.0,6.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1272,351967,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1273,351995,24.0,3.0,0.0,12.0,0.0,18.0,0.0,12.0,27.0,3.0,9.0,3.0,0.0,0.0
203,352049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Unnamed 1274,352080,6.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,15.0,3.0,3.0
Unnamed 1275,352143,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,18.0,9.0,0.0
Unnamed 1276,352305,6.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
191,352414,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1277,352565,0.0,9.0,0.0,3.0,3.0,12.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0
Unnamed 1278,352684,27.0,9.0,0.0,11.0,0.0,12.0,0.0,21.0,21.0,0.0,12.0,9.0,0.0,3.0
156,352760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1279,352769,15.0,9.0,3.0,12.0,0.0,9.0,0.0,18.0,12.0,0.0,3.0,3.0,0.0,3.0
Unnamed 1280,352985,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Unnamed 1281,353379,12.0,0.0,0.0,3.0,0.0,3.0,0.0,12.0,12.0,0.0,3.0,3.0,3.0,0.0
147,353504,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
156,353557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
57,353603,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156,353665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1282,354022,15.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
156,354220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1283,354254,3.0,0.0,0.0,3.0,0.0,6.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1284,354303,18.0,3.0,12.0,6.0,9.0,0.0,0.0,9.0,12.0,0.0,0.0,15.0,0.0,3.0
156,354457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
156,354461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1285,354541,3.0,6.0,3.0,12.0,0.0,6.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0
Unnamed 1286,354686,18.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0
Unnamed 1287,354733,0.0,12.0,0.0,6.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
155,354798,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1288,354996,6.0,0.0,6.0,3.0,3.0,3.0,0.0,9.0,6.0,3.0,0.0,3.0,0.0,6.0
156,355292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
106,355373,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,355398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
176,355507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1289,355735,0.0,9.0,9.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
156,355851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1290,356113,3.0,6.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0
Unnamed 1291,356145,24.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,3.0,0.0,0.0
106,356202,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1292,356212,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1293,356314,39.0,3.0,0.0,15.0,0.0,6.0,0.0,6.0,33.0,0.0,6.0,15.0,0.0,0.0
Unnamed 1294,356421,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0
Unnamed 1295,356544,3.0,3.0,0.0,0.0,0.0,12.0,0.0,18.0,0.0,0.0,6.0,3.0,0.0,0.0
Unnamed 1296,356733,6.0,3.0,0.0,3.0,0.0,15.0,0.0,6.0,3.0,0.0,3.0,3.0,0.0,3.0
Unnamed 1297,357233,6.0,9.0,0.0,9.0,0.0,12.0,0.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0
Unnamed 1298,357295,6.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0
156,357344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1299,357432,0.0,0.0,12.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,4.0
106,357479,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1300,357861,39.0,15.0,0.0,12.0,0.0,12.0,0.0,12.0,36.0,0.0,0.0,12.0,0.0,0.0
Unnamed 1301,358096,9.0,6.0,0.0,3.0,0.0,3.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1302,358209,42.0,0.0,9.0,21.0,15.0,15.0,0.0,9.0,42.0,0.0,0.0,36.0,9.0,0.0
203,358485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Unnamed 1303,358507,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,3.0,0.0,0.0
Unnamed 1304,358522,6.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0,9.0,0.0,0.0,0.0
29,359140,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
156,359194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1305,359255,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
156,359272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1306,359312,6.0,12.0,0.0,15.0,0.0,6.0,0.0,12.0,9.0,0.0,0.0,3.0,0.0,0.0
156,359486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1307,359521,0.0,12.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1308,359581,12.0,9.0,0.0,6.0,3.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,0.0,0.0
156,359629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1309,359675,11.0,3.0,0.0,3.0,0.0,6.0,0.0,3.0,11.0,0.0,0.0,3.0,0.0,0.0
156,359697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1310,359722,0.0,0.0,0.0,3.0,0.0,3.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0
200,359731,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
79,359813,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1311,359919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1312,359925,0.0,9.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,9.0,3.0,12.0
106,359976,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,359983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1313,360150,3.0,3.0,9.0,0.0,6.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1314,360180,6.0,6.0,3.0,6.0,0.0,12.0,0.0,9.0,9.0,3.0,0.0,6.0,0.0,3.0
155,360347,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
147,360448,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
142,360558,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,360619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1315,360847,6.0,3.0,3.0,6.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,6.0
Unnamed 1316,361147,6.0,9.0,0.0,6.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
Unnamed 1317,361194,6.0,3.0,0.0,9.0,0.0,12.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
156,361277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1318,361293,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,3.0
Unnamed 1319,361345,6.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1320,361485,6.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,0.0,0.0,0.0
Unnamed 1321,361501,0.0,9.0,6.0,6.0,6.0,15.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0
156,361624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 1322,361655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0
106,361656,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 1323,361843,3.0,9.0,9.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,3.0,3.0,0.0
Unnamed 1324,361904,3.0,0.0,0.0,6.0,0.0,6.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0
Unnamed 1325,361946,18.0,12.0,0.0,12.0,0.0,6.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0
